Name,Pct,Count
Marshon,77.54588966946908,1
Eldridge,74.7647079724628,1
Vander,72.32341138560687,1
Keldon,72.17611319541216,1
Haywood,71.01898112013501,1
Aleksandar,70.3842533842053,2
Jodie,69.48719917440661,1
Nassir,64.90562560246771,1
Klay,64.31664533384277,1
Shandon,60.37218326907558,1
Anfernee,60.065206066012486,2
Lucious,57.905999312005505,1
Ashraf,57.343805143927774,1
Renaldo,55.720867262495865,2
Kentavious,55.02868257600523,1
Rajon,54.94336678906569,1
Elden,54.77352639713658,1
Trajan,53.61342145075245,1
Iman,50.19613538094528,1
Tamar,49.98373988568034,1
Corie,49.703326197682145,1
Damone,47.825197812344626,1
Cartier,47.76074336785359,1
Daequan,47.63235427277872,1
Felton,46.143843201754386,1
Bryn,44.745544922913346,1
Delon,44.57669380999669,1
Jacque,42.64557350053835,1
Caron,41.790650446871894,1
Jae,41.59445021003212,1
Dedric,41.351775471350486,1
Demar,40.45487623167508,1
Caris,39.57648509828789,1
Shareef,39.419879398161704,1
Jawad,39.072184761794226,1
Randolph,38.5619930130004,6
Ky,37.90210864058542,1
Hilton,37.540753791257806,1
Juaquin,36.459332900151615,1
Brevin,35.72426570458404,1
Lebron,35.332474156477936,1
Desmon,34.60788240131579,1
Sasha,34.108249835368014,1
Taurean,33.799209898853,2
Darvin,33.68676005603362,1
Armen,33.46409025396352,1
Maceo,32.216792344497605,1
Delores,31.403903089463622,2
Casper,31.141011932291185,1
Kobi,30.68265937571201,1
Damir,30.629621070827454,1
Jameer,29.855494169290115,1
Tayshaun,29.830363281942226,1
Salim,29.805274666902747,1
Von,29.70534080381171,1
Horace,29.519759749227294,2
Marquese,29.312218014017674,1
Diante,28.46463580638343,1
Toney,28.237825959320613,1
Tyreke,28.125771094402673,1
Stacey,28.07007649817613,2
Jamario,28.05896403717131,1
Treveon,27.664692879740333,1
Dijon,27.535719952562058,1
Jarell,27.397349500539132,2
Brook,27.38676319856829,1
Buck,27.114362340434102,1
Terance,26.990458171323205,1
Delonte,26.867681257731135,1
Jarron,26.585500059225332,1
Hakim,25.42214603941705,1
Tito,25.295126037792553,1
Kelan,25.151505733816443,1
Rony,25.0803054344992,1
Donta,24.895308450261584,2
Andrae,24.644277871312493,1
Geno,24.644277871312493,1
Stanton,24.575916490254762,1
Dakari,24.541877824755797,1
Dajuan,24.37308911894592,2
Kedrick,24.09141507746252,1
Jonny,23.720529838652855,1
Javaris,23.469186476124083,1
Landry,23.376300513817526,2
Kalin,22.702416130011127,1
Jahlil,22.658869296002155,1
Talen,22.658869296002155,1
Wes,22.09381021131382,1
Terrel,21.464852561446012,1
Norris,21.33562406920371,1
Jabari,21.230176174298258,4
Diamond,20.84615975232198,1
Juwan,20.675887735675243,2
Lindsey,20.651789964421543,1
Rakeem,19.999137459902578,1
Demetris,19.775932800751878,1
Alfonzo,19.731888406986286,1
Donell,19.633502259804636,1
Mahmoud,18.31445559635523,1
Garth,18.220293870924095,1
Armon,17.99820801368581,1
Hollis,17.99820801368581,1
Dejuan,17.363288377730214,2
Scot,17.31239451829378,1
Jerel,17.06233585890581,1
Dino,16.779579346092504,1
Martell,16.747859914436376,1
Jajuan,16.669083527256525,1
Jameel,16.316055054763982,1
Jaren,15.89882080706477,2
Rashard,15.71550846073054,1
Randell,15.441599816534803,1
Lamarcus,15.041796086140648,1
Morris,15.029037989375475,2
Kadeem,14.997237231886317,1
Richie,14.759879874613647,1
Khalid,14.735331217857533,2
Mikal,14.656109007008837,1
Hubert,14.547812635035864,1
Brandin,14.16405738567041,1
Ira,14.048948098690731,2
Horacio,13.90289194937127,1
Tracy,13.846758887319888,3
Carsen,13.767859976281029,1
Torrey,13.746497897186721,1
Derrick,13.475387185261877,30
Shaquille,13.41604072646124,2
Tyrus,13.267866558946974,1
Kwame,13.228246203414471,1
Reginald,12.891404721334075,11
Earl,12.88015976555476,5
Jarrell,12.844679803895385,1
Luc,12.821444131312361,1
Christiana,12.783168750128013,3
Dionte,12.74765164710337,1
Hiram,12.553479128213732,1
Tarik,12.553479128213732,1
Scottie,12.425831549420536,1
Elton,12.386742949649552,1
Deron,12.115716779127306,1
Royal,11.980551581794241,1
Langston,11.952266974349872,1
Alton,11.651642800903293,2
Baron,11.649727672237795,1
Quincy,11.571367981109962,5
Adonis,11.457637109262,2
Lyndon,11.053796499983584,1
Darrick,11.005736515201047,1
Jelani,10.887395262349422,1
Latrell,10.87737003650932,1
Kirk,10.84989562309908,4
Edmond,10.667812034601855,1
Laron,10.645380468292991,1
Lawrence,10.62230823652477,13
Courtney,10.546379459548357,4
Trae,10.525236584183952,1
Dequan,10.45382642446825,1
Javonte,10.416952257186175,1
